"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB43248",11117.1453188794,-6.53188827789745,0.296820667239896,-22.006177462765,2.51308913090244e-107,2.79983260073841e-103
"GB54549",27294.499791645,-8.08095730935196,0.37050099854052,-21.8108921195476,1.82875469052119e-105,1.01870780035483e-101
"GB47723",10923.0416659164,-7.84437814572729,0.365872150719619,-21.4402165628034,5.63508853536588e-102,1.72141617324724e-98
"GB44100",9771.12068507545,-9.73461681617257,0.45412645435855,-21.4359166323456,6.18047275198723e-102,1.72141617324724e-98
"GB40137",5402.64769078295,-9.49575332588463,0.444031606183926,-21.385309499683,1.83068983531928e-101,4.07914309105841e-98
"GB51356",16038.8851941129,-8.65211858885033,0.404968659022254,-21.3649091012124,2.8340417390556e-101,5.2623431691364e-98
"GB55207",8181.94469222394,6.15657706300625,0.303685641773089,20.2728618549782,2.23286730707119e-91,3.55376780972573e-88
"GB44549",81142.7180450563,6.41434040687459,0.317738145826575,20.187504997828,1.26072285161217e-90,1.75571416122639e-87
"GB46514",4703.58869869783,-9.63950726096262,0.485652538050054,-19.8485676604641,1.13387211119698e-87,1.40360768787173e-84
"GB44112",4499.82477587014,-10.9017670943395,0.564783929771263,-19.3025447780617,5.11281849634841e-83,5.69619108678176e-80
"GB42218",2199.19454779438,-9.84657320016513,0.514985051874109,-19.1201145826116,1.71729868300602e-81,1.73931132976091e-78
"GB53002",1152.99967775795,5.69661886693722,0.312884723699212,18.2067657365516,4.56107650582942e-74,4.23457944595379e-71
"GB44120",2769.71308376436,7.58477880401933,0.417334145351069,18.1743547431013,8.23920565905637e-74,7.06099924981131e-71
"GB55205",271500.214358737,6.00604337417664,0.337283924260192,17.8070846019432,6.22699379451501e-71,4.95535270462083e-68
"GB55211",6451.8674862504,6.19529412750438,0.361975352751532,17.1152374889927,1.14248792879598e-65,8.48563867647736e-63
"GB42984",1855.11341191185,6.40270673172819,0.375534668256887,17.0495756395742,3.52080133129613e-65,2.45157797699814e-62
"GB50064",1943.30290706515,5.20727925210202,0.305906250397946,17.0224676525177,5.59616366937516e-65,3.66746232002992e-62
"GB51299",961.633455796346,5.71736886511279,0.337431022485616,16.9438151329329,2.13798269956868e-64,1.32329251421637e-61
