"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB55205",271500.214358737,-13.8012659829729,0.534059171503772,-25.8422038593816,2.97714965932495e-147,3.24271140893674e-143
"GB55207",8181.94469222394,-10.2801125945102,0.451809214738131,-22.7532158689339,1.33357621813889e-114,7.26265608398437e-111
"GB53576",53812.3837423102,-14.0601024130876,0.67807841632136,-20.7352159789497,1.66705007155752e-95,6.05250312646818e-92
"GB44549",81142.7180450563,-14.5186533589164,0.706199996943704,-20.5588408690886,6.41471959522621e-94,1.7467281457801e-90
"GB55204",65167.2031244486,-10.8344695635031,0.616531266931109,-17.5732686152862,3.94758461680121e-69,8.59941832923976e-66
"GB50118",1612.28353374834,-10.2432052389596,0.590522786649321,-17.3459948888348,2.11484711978747e-67,3.8391524714542e-64
"GB43247",27379.6850760784,-8.19403653443944,0.514626133741173,-15.9223094149365,4.43693072657694e-57,6.90386421055372e-54
"GB43293",862.914049461149,-8.14065692836068,0.531035920862906,-15.3297669866335,4.83718630488019e-53,6.58582915409438e-50
"GB49854",11817.5718341662,-6.43527331889462,0.438871318702335,-14.6632350865912,1.1086245498001e-48,1.34168206626919e-45
"GB50115",2972.66819424015,-11.8827462478197,0.814393814135335,-14.5909092647468,3.2089205565219e-48,3.49515627016365e-45
"GB50064",1943.30290706515,-6.56916463316712,0.452810461790195,-14.5075372313524,1.08548326217479e-47,1.07482579014616e-44
"GB40626",2813.24478790045,-6.60037308809589,0.460004494312087,-14.348496959723,1.0887123089194e-46,9.88187872395841e-44
"GB53002",1152.99967775795,-6.47827882731073,0.451807959858491,-14.3385672738917,1.25622111806777e-46,1.0525200321534e-43
"GB55206",7627.33160711337,-10.7549725313989,0.751902641207236,-14.3036770214439,2.07547231816609e-46,1.61471746353321e-43
"GB42984",1855.11341191185,-7.71597863269269,0.54938710986478,-14.0447027135235,8.30160168263077e-45,6.02806970181429e-42
"GB43276",4627.34575381112,-5.65099644560668,0.409886280382432,-13.7867421186535,3.06282432839596e-43,2.08501766155555e-40
"GB49223",3732.19950801472,-6.53306895779455,0.475981205526327,-13.7254767245914,7.14575702060019e-43,4.57832855696337e-40
"GB50415",821.751959595428,-6.56668932392285,0.495055035172584,-13.2645642552319,3.71574386439856e-40,2.2484378983905e-37
"GB50150",625.749916550963,-6.32548909588995,0.490458932889858,-12.8970820423623,4.67465005331432e-38,2.67980465161577e-35
"GB55213",6682.38423173471,-7.30075968930445,0.598178306312475,-12.2049890680768,2.92347768513125e-34,1.59212594732248e-31
"GB47723",10923.0416659164,6.58772701951271,0.546847647232117,12.0467319423548,2.01793001329459e-33,1.04663303356213e-30
"GB50651",418.124636917313,-6.44756874547192,0.53756510572234,-11.9940239365205,3.81892354791071e-33,1.89071433108379e-30
"GB41777",1323.87421723682,-8.34655519394438,0.700495772302512,-11.9152113745233,9.86157717117287e-33,4.6700999368876e-30
"GB54549",27294.499791645,11.6202809693794,0.977958422415016,11.8821830284806,1.46490912487398e-32,6.64824591171973e-30
