"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB55205",271500.214358737,-11.8043148093213,0.477887016325873,-24.7010577941123,1.04185696674068e-134,1.10895255539878e-130
"GB55204",65167.2031244486,-10.3681202420887,0.561804936296159,-18.4550180538518,4.75206310049459e-76,2.52904798208322e-72
"GB44549",81142.7180450563,-12.2024516533,0.669634972193947,-18.2225423700926,3.41894403987985e-74,1.21304134534937e-70
"GB53576",53812.3837423102,-11.0588967345208,0.623112197670322,-17.7478418427173,1.79105756511104e-70,4.76600418076048e-67
"GB40823",665.988713695325,7.77608700664479,0.477686613434663,16.2786370560673,1.39951336566436e-59,2.97928405282629e-56
"GB55207",8181.94469222394,-5.96248152139692,0.402338570014231,-14.8195623431928,1.09495521970098e-49,1.94245055974953e-46
"GB46376",1573.73266242493,4.63631736998206,0.343438201501356,13.4997136303247,1.56985152964964e-41,2.3870713830844e-38
"GB48462",333.54119759337,9.47214618261894,0.714401001044055,13.2588646555309,4.00919462330084e-40,5.33423344630176e-37
"GB43728",2321.498942969,-5.12514925866218,0.393499772396426,-13.0245291565224,8.87468212453797e-39,1.04957907259536e-35
"GB55213",6682.38423173471,-6.92214636755297,0.534613859400674,-12.9479366197371,2.41354345644757e-38,2.56897565504279e-35
"GB54204",390.191074854823,5.36864363748349,0.418578107627431,12.8259064190285,1.17405448545612e-37,1.13605781301772e-34
"GB55206",7627.33160711337,-8.47364533102312,0.683861282267284,-12.3908832840038,2.92800475881346e-35,2.59714022106754e-32
"GB42306",338.625547128599,5.47943542807503,0.445845561738154,12.2899853633468,1.02524593841686e-34,8.3943982834685e-32
"GB50678",331.726252808126,5.33102336530031,0.45544077263633,11.7051956820676,1.19882354579399e-31,9.11448415816517e-29
"GB47485",274.888529519376,10.0240627974665,0.860034159762391,11.6554240127344,2.15306000667413e-31,1.52781138073596e-28
"GB42787",576.817135403977,4.71103475677666,0.407929090721667,11.5486609411512,7.49795281943172e-31,4.98801311312695e-28
"GB43247",27379.6850760784,-5.09546467160409,0.446780005050055,-11.4048628273622,3.95400065286309e-30,2.47566958523969e-27
"GB47946",2335.16777786376,-4.47859559523341,0.403310732960219,-11.1045782549882,1.19178635208139e-28,7.0474299619746e-26
"GB51698",5597.27229000885,-6.04533022046129,0.550388788174471,-10.9837452185617,4.57552503286254e-28,2.56325728683099e-25
"GB42218",2199.19454779438,-4.47776134710169,0.408436246916285,-10.9631830693505,5.74427303288244e-28,3.0300975073929e-25
"GB52324",10793.1966493185,-3.92110053279831,0.357778651471918,-10.9595709991826,5.97820816001981e-28,3.0300975073929e-25
"GB40750",887.516439372108,4.3259632639107,0.399826637499252,10.8195974409504,2.77995716037298e-27,1.34499381886409e-24
"GB48020",3940.71241995598,-9.39528759986316,0.871506008577577,-10.7805195918243,4.25475567666143e-27,1.96902693140801e-24
"GB44502",743.158495821965,-4.20650445640002,0.392282008339511,-10.7231643740321,7.92448640445811e-27,3.51450972037717e-24
"GB46251",634.585009194628,4.01621526817586,0.374831315926295,10.7147271253226,8.68128809008002e-27,3.69614521723247e-24
"GB50064",1943.30290706515,-4.29863911987681,0.402600260364272,-10.6771891205123,1.30152996761039e-26,5.32826345201731e-24
